strategy,nr_events,stream_config.spread,stream_config.offset,bytes,window.size,window.slide,window.offset,nr_windows,thr_mean,thr_median,ns_mean,ns_median,thr_std_dev,mem_total,reserve
clone,5000,1,1,0,5000,5000,0,15,24666278.200695943,24991620.704473086,203954.930851225,200067.18233333336,1612320.929179068,0,5000
slice,5000,1,1,0,5000,5000,0,15,24500009.733866647,24840578.558126427,205769.15680177452,201283.5625,1796152.1093591563,0,5000
rc,5000,1,1,0,5000,5000,0,16,11112413.425857302,11194632.189331632,450724.4459854098,446642.8137996219,432609.6708445447,160000,5000
legacy,5000,1,1,0,5000,5000,0,16,41541.29418210432,41040.57898517445,120470295.71666667,121831126.25,1271.0277850874402,5969107120,5000
arc,5000,1,1,0,5000,5000,0,16,11186890.798704725,11228525.494573407,447375.0430585997,445294.4466873706,331995.5927177004,160000,5000
clone,5000,1,1,0,5000,5000,0,16,23535270.523573123,23751221.425951958,213435.97075815266,210515.4932117528,1374420.322013806,0,5000
slice,5000,1,1,0,5000,5000,0,16,22768493.129908834,23143507.96343694,221075.25242149894,216043.31006205673,1545667.6578011876,0,5000
rc,5000,1,1,0,5000,5000,0,17,10898611.585377974,10957784.956462905,459472.2067474096,456297.0936672968,393814.415312737,160000,5000
legacy,5000,1,1,0,5000,5000,0,17,38234.54076622111,38095.303661617334,130808547.58333333,131249775.25,655.9447367360067,6342176315,5000
arc,5000,1,1,0,5000,5000,0,17,10874000.115112152,10972877.560236372,460631.761008414,455668.9954710145,422732.91464980406,160000,5000
clone,5000,1,1,0,5000,5000,0,17,22358048.363701742,22628424.216177095,224994.8984473941,220961.0348251029,1455918.991770149,0,5000
slice,5000,1,1,0,5000,5000,0,17,22255056.16160475,22544336.57600407,226336.42132366315,221785.26106060605,1564703.0541988339,0,5000
rc,5000,1,1,0,5000,5000,0,18,10620176.950656256,10647227.775164742,471526.9542325495,469605.8079545455,390276.01327141083,160000,5000
legacy,5000,1,1,0,5000,5000,0,18,36223.35636990712,35977.8508186783,138086045.13333333,138974397.75,731.948686656089,6715245510,5000
arc,5000,1,1,0,5000,5000,0,18,10655855.005223583,10705611.804722529,470102.7916386801,467046.0996212121,426345.38235003804,160000,5000
clone,5000,1,1,0,5000,5000,0,18,21267478.466014992,21529562.733371075,236848.09159551025,232238.8397009967,1498599.5581415908,0,5000
slice,5000,1,1,0,5000,5000,0,18,21264549.225542124,21486758.819470175,236645.32905892635,232701.46744186047,1414870.470364264,0,5000
rc,5000,1,1,0,5000,5000,0,19,10306027.45355787,10363232.343436025,486020.8126821458,482475.9458041958,401517.63064250676,160000,5000
legacy,5000,1,1,0,5000,5000,0,19,35175.22666997919,35166.85042499403,142226022.76666668,142179380.5,848.4731590529451,7088314705,5000
arc,5000,1,1,0,5000,5000,0,19,10390860.188050058,10483287.687473292,482095.0426265307,476949.6178787879,412789.4100853315,160000,5000
clone,5000,1,1,0,5000,5000,0,19,20389620.6180444,20671555.838940363,246915.6246957261,241878.33095238096,1393149.2368344741,0,5000
slice,5000,1,1,0,5000,5000,0,19,20298705.50104357,20575790.673398055,248163.82104076882,243004.02890129213,1431619.2045252533,0,5000
rc,5000,1,1,0,5000,5000,0,2,16669819.533820596,16459248.791468326,300173.41449200764,303780.8324123589,472624.44731682655,160000,5000
legacy,5000,1,1,0,5000,5000,0,2,377194.1236793356,379338.58994714567,13261461.123732524,13180860.572649572,7869.715881829019,746138390,5000
arc,5000,1,1,0,5000,5000,0,2,16524991.746617407,16530145.270998133,302712.93796185346,302478.42587364325,361447.84004225873,160000,5000
clone,5000,1,1,0,5000,5000,0,2,61266828.4799084,60338222.94165584,82064.60103834857,82866.2125,5114024.89410408,0,5000
slice,5000,1,1,0,5000,5000,0,2,61395145.221718706,59889047.88129008,81952.2716418465,83487.7233504513,5371712.907675537,0,5000
rc,5000,1,1,0,5000,5000,0,20,9962854.272539485,9935956.633348579,502001.0401931326,503222.8095238095,167198.01045494486,160000,5000
legacy,5000,1,1,0,5000,5000,0,20,32103.320303996417,32050.447130862238,155766593.96666667,156004196.5,366.6482444549481,7461383900,5000
arc,5000,1,1,0,5000,5000,0,20,10087427.722785018,10074089.22443186,495741.1299905411,496322.8069727891,126078.44628905128,160000,5000
clone,5000,1,1,0,5000,5000,0,20,19233249.9485238,19165993.67446219,260051.12652016917,260878.876784634,353056.21411647974,0,5000
slice,5000,1,1,0,5000,5000,0,20,18927825.03377429,19133356.185285397,266035.9242114126,261323.79567669175,1318417.881975845,0,5000
rc,5000,1,1,0,5000,5000,0,21,9888115.889623024,9937973.47889227,506566.96869296813,503120.6826471968,387069.81126378966,160000,5000
legacy,5000,1,1,0,5000,5000,0,21,31195.262831170774,31102.6834508482,160349448.1,160757857.5,665.5249193447376,7834453095,5000
arc,5000,1,1,0,5000,5000,0,21,9994228.114422677,10058091.2824101,501290.3232488585,497113.104642484,410370.06918846996,160000,5000
clone,5000,1,1,0,5000,5000,0,21,18787163.744651627,19096149.65296213,268036.42600583856,261832.9356725146,1304372.086379275,0,5000
slice,5000,1,1,0,5000,5000,0,21,18628030.58113433,18871243.265042655,270195.9674524872,264953.4525171625,1254956.4145417884,0,5000
rc,5000,1,1,0,5000,5000,0,22,9799928.360612785,9806903.637662934,510886.2201621368,509845.1359375,339636.44420606946,160000,5000
legacy,5000,1,1,0,5000,5000,0,22,29111.43260052007,29078.094883422535,171804256.73333332,171950972.0,508.9511187919268,8207522290,5000
arc,5000,1,1,0,5000,5000,0,22,9753998.673266206,9804284.632038195,513371.2153809395,509981.8414502165,352388.66978865705,160000,5000
clone,5000,1,1,0,5000,5000,0,22,18146706.504336517,18316011.55111155,277351.61555571185,272985.4761904762,1222193.3743923586,0,5000
