strategy,nr_events,stream_config.spread,stream_config.offset,bytes,window.size,window.slide,window.offset,nr_windows,thr_mean,thr_median,ns_mean,ns_median,thr_std_dev,mem_total,reserve
clone,5000,1,1,0,5000,5000,0,45,9630098.813686142,9715703.139380265,520377.40668156487,514631.1297619047,414358.39348497154,0,5000
slice,5000,1,1,0,5000,5000,0,45,9589290.309517128,9666221.4168611,522971.6385527628,517265.2064705882,463733.50838654954,0,5000
rc,5000,1,1,0,5000,5000,0,46,6583263.645441264,6596108.069063012,759699.8528377184,758023.3187830688,107580.19837706041,160000,5000
legacy,5000,1,1,0,5000,5000,0,46,14242.784756298372,14259.53138414492,351191010.0,350642888.0,286.8459183089945,17161182970,5000
arc,5000,1,1,0,5000,5000,0,46,6525644.9687192505,6580338.548039237,767073.6095033614,759841.044950739,213682.51816957942,160000,5000
clone,5000,1,1,0,5000,5000,0,46,9471054.85134406,9536133.290957889,529769.4477875612,524322.3409848486,493145.12213311775,0,5000
slice,5000,1,1,0,5000,5000,0,46,9382432.66124467,9470982.940145802,534127.299496057,527928.3742690058,408359.6938055087,0,5000
rc,5000,1,1,0,5000,5000,0,47,6480841.67108899,6494312.57417036,771934.2754370981,769904.6208545918,151834.68882572846,160000,5000
legacy,5000,1,1,0,5000,5000,0,47,13945.831001779132,13886.851120485408,358656736.2,360054124.5,267.63026234557634,17534252165,5000
arc,5000,1,1,0,5000,5000,0,47,6503174.972032356,6474058.071603363,769015.3960410738,772313.1221804512,96328.48073669619,160000,5000
clone,5000,1,1,0,5000,5000,0,47,9248294.851362174,9338987.159811229,542058.1053462568,535389.9655502392,424990.8378124119,0,5000
slice,5000,1,1,0,5000,5000,0,47,9182960.571386838,9244122.790494174,545968.2136374068,540885.6343609022,428590.9151326211,0,5000
rc,5000,1,1,0,5000,5000,0,48,6352149.111106517,6364624.707588827,787630.2191072601,785592.2841469428,154153.13591560273,160000,5000
legacy,5000,1,1,0,5000,5000,0,48,13694.582355999533,13662.778564660557,365217216.6,365957871.5,241.90366120564485,17907321360,5000
arc,5000,1,1,0,5000,5000,0,48,6345844.162275655,6382064.402497256,788523.7387766183,783445.8228021979,167994.4021017403,160000,5000
clone,5000,1,1,0,5000,5000,0,48,9151328.081368955,9159303.554011948,546440.8456894477,545893.085652834,106594.50917675777,0,5000
slice,5000,1,1,0,5000,5000,0,48,9060694.686860666,9102116.947879154,552004.2182302799,549322.7596153846,158849.46253347726,0,5000
rc,5000,1,1,0,5000,5000,0,49,6281624.24180425,6308158.08819322,796590.1077120799,792624.7241025642,167708.30879279395,160000,5000
legacy,5000,1,1,0,5000,5000,0,49,13207.22299472159,13081.264825011409,378821510.6333333,382226849.5,341.4676359810759,18280390555,5000
arc,5000,1,1,0,5000,5000,0,49,6270657.175592184,6304194.196986586,797719.6202724174,793123.346745562,128986.6367223696,160000,5000
clone,5000,1,1,0,5000,5000,0,49,8891268.149530996,8983017.92855426,563681.5821714998,556605.8958333333,391038.34950034454,0,5000
slice,5000,1,1,0,5000,5000,0,49,8847485.843766194,8927716.045806168,566471.7727323368,560054.034382832,391180.44179530675,0,5000
rc,5000,1,1,0,5000,5000,0,5,14820764.70072725,14594995.207099438,337690.56861999526,342583.27539473685,471222.0933175313,160000,5000
legacy,5000,1,1,0,5000,5000,0,5,132055.39027058874,131040.34857449359,37905505.513333336,38156423.400000006,4522.352919705023,1865345975,5000
arc,5000,1,1,0,5000,5000,0,5,14903676.544219092,14672096.137558382,335782.1158979244,340783.25874183,452339.45727511024,160000,5000
clone,5000,1,1,0,5000,5000,0,5,45777518.815744966,44457433.0678001,109657.19204898851,112467.1403292839,3115992.5617856407,0,5000
slice,5000,1,1,0,5000,5000,0,5,51323855.09267327,51179675.332630895,97511.9498816065,97695.03220485519,1601388.7672840618,0,5000
rc,5000,1,1,0,5000,5000,0,50,6144881.384889665,6159524.626106221,814090.7824575991,811750.9555860807,134114.31893303938,160000,5000
legacy,5000,1,1,0,5000,5000,0,50,12904.381098679703,12801.82982521954,387619611.1333333,390569201.5,264.3769367237062,18653459750,5000
arc,5000,1,1,0,5000,5000,0,50,6136306.297180421,6179414.675259962,815482.061342448,809138.1782051282,167345.80049887806,160000,5000
clone,5000,1,1,0,5000,5000,0,50,8707788.49948824,8804668.81420513,575827.9996727494,567880.7945150232,417707.16509283124,0,5000
slice,5000,1,1,0,5000,5000,0,50,8642287.906646749,8701148.227995405,580360.3420504757,574636.8454545455,428475.8220233667,0,5000
rc,5000,1,1,0,5000,5000,0,6,14361391.3455006,14139443.972847298,348387.5931705929,353620.6948938992,379938.31202726153,160000,5000
legacy,5000,1,1,0,5000,5000,0,6,109459.77845373513,108704.24197148849,45694596.25833333,45996372.25,2102.7443278448595,2238415170,5000
arc,5000,1,1,0,5000,5000,0,6,14561931.915441986,14677843.31130169,344752.1159312661,340649.5290322581,826957.1809330207,160000,5000
clone,5000,1,1,0,5000,5000,0,6,48446071.507387385,49424803.30741109,105121.06382385443,101163.97635038327,4758213.112182431,0,5000
slice,5000,1,1,0,5000,5000,0,6,42404855.13675396,41191196.96484289,118395.70370484279,121385.19571428571,2916487.566595075,0,5000
rc,5000,1,1,0,5000,5000,0,7,14036193.473758593,13934752.169289436,356555.8329333029,358819.02463942306,439077.45348783245,160000,5000
legacy,5000,1,1,0,5000,5000,0,7,96977.41999612127,98028.57253450615,51595044.525,51005554.125,2584.8676416842422,2611484365,5000
arc,5000,1,1,0,5000,5000,0,7,14053631.10456151,13935855.820921289,356022.8556193021,358787.2363945578,377106.77588144416,160000,5000
clone,5000,1,1,0,5000,5000,0,7,40156595.41927299,39150409.4060717,126344.12714890695,127714.07206196582,4150926.959950369,0,5000
slice,5000,1,1,0,5000,5000,0,7,39305282.855564155,38498029.47806704,127646.30164971364,129876.82695199538,2478640.4764414015,0,5000
rc,5000,1,1,0,5000,5000,0,8,13838583.552091572,13919806.420089923,361857.5063647594,359200.79706698377,505051.7440743257,160000,5000
legacy,5000,1,1,0,5000,5000,0,8,83699.62357729735,83121.87305761126,59780525.47777778,60152648.83333333,2290.156432007837,2984553560,5000
arc,5000,1,1,0,5000,5000,0,8,13884755.922319204,13939789.952578437,360815.08581490285,358685.46880131366,568951.8811462522,160000,5000
clone,5000,1,1,0,5000,5000,0,8,40660548.382704176,40526994.70245783,123037.3056121685,123375.17833092832,974392.0653509973,0,5000
slice,5000,1,1,0,5000,5000,0,8,40745707.2458652,41350114.94754973,124691.4836960679,120918.64814814815,3866095.3937002905,0,5000
rc,5000,1,1,0,5000,5000,0,9,13562497.739969866,13649185.867613435,369402.8986361496,366322.3038793103,554804.5779234953,160000,5000
legacy,5000,1,1,0,5000,5000,0,9,75544.55361443537,75748.66980702605,66198400.5,66007774.83333333,1040.178254879055,3357622755,5000
arc,5000,1,1,0,5000,5000,0,9,13564989.975972889,13635047.012797188,369416.2161390215,366702.0745073892,585663.2763258158,160000,5000
clone,5000,1,1,0,5000,5000,0,9,38670935.00394594,39400185.781089306,131664.92273880105,126902.95941558442,3771503.406607353,0,5000
slice,5000,1,1,0,5000,5000,0,9,36057320.99154448,35578375.369716436,139176.28000724505,140534.97126984128,2231260.732921671,0,5000
